estados;2019;2020;2021;2022;2023;Ranking 2023
Brasil;1,73;1,66;1,64;1.63;1.57;-
Região Norte;2,04;1,96;2;1.96;1.83;1º
Rondônia;1,89;1,82;1,81;1.96;1.73;10º
Acre;2,2;2,05;2,09;2.01;1.91;5º
Amazonas;2,22;2,15;2,21;2.12;1.96;3º
Roraima;2,8;2,51;2,49;2.35;2.26;1º
Pará;1,9;1,83;1,88;1.84;1.73;9º
Amapá;2,28;2,18;2,23;2.1;1.94;4º
Tocantins;1,96;1,9;1,9;1.85;1.87;6º
